lo_ghz,if_power
73.3,-1.469
73.4,-1.465
73.5,-1.66
73.6,-1.608
73.7,-1.516
73.8,-1.482
73.9,-1.557
74.0,-1.546
74.1,-1.601
74.2,-1.576
74.3,-1.732
74.4,-1.66
74.5,-1.596
74.6,-1.482
74.7,-1.545
74.8,-1.48
74.9,-1.528
75.0,-1.498
75.1,-1.436
75.2,-1.544
75.3,-1.534
75.4,-1.642
75.5,-1.528
75.6,-1.615
75.7,-1.514
75.8,-1.572
75.9,-1.51
76.0,-1.403
76.1,-1.45
76.2,-1.535
76.3,-1.578
76.4,-1.43
76.5,-1.617
76.6,-1.52
76.7,-1.505
76.8,-1.489
76.9,-1.623
77.0,-1.432
77.1,-1.495
77.2,-1.493
77.3,-1.612
77.4,-1.532
77.5,-1.404
77.6,-1.589
77.7,-1.541
77.8,-1.54
77.9,-1.504
78.0,-1.529
78.1,-1.589
78.2,-1.525
78.3,-1.549
78.4,-1.432
78.5,-1.509
78.6,-1.386
78.7,-1.541
78.8,-1.584
78.9,-1.534
79.0,-1.475
79.1,-1.668
79.2,-1.553
79.3,-1.488
79.4,-1.481
79.5,-1.427
79.6,-1.464
79.7,-1.511
79.8,-1.473
79.9,-1.515
80.0,-1.481
80.1,-1.526
80.2,-1.552
80.3,-1.582
80.4,-1.402
80.5,-1.425
80.6,-1.59
80.7,-1.631
80.8,-1.527
80.9,-1.418
81.0,-1.586
81.1,-1.436
81.2,-1.545
81.3,-1.559
81.4,-1.468
81.5,-1.542
81.6,-1.532
81.7,-1.433
81.8,-1.524
81.9,-1.504
82.0,-1.532
82.1,-1.56
82.2,-1.454
82.3,-1.506
82.4,-1.43
82.5,-1.462
82.6,-1.568
82.7,-1.512
82.8,-1.491
82.9,-1.576
83.0,-1.393
83.1,-1.521
83.2,-1.447
83.3,-1.499
83.4,-1.507
83.5,-1.587
83.6,-1.601
83.7,-1.563
83.8,-1.536
83.9,-1.504
84.0,-1.504
84.1,-1.572
84.2,-1.59
84.3,-1.562
84.4,-1.567
84.5,-1.413
84.6,-1.41
84.7,-1.419
84.8,-1.481
84.9,-1.524
85.0,-1.606
85.1,-1.466
85.2,-1.447
85.3,-1.572
85.4,-1.478
85.5,-1.46
85.6,-1.456
85.7,-1.659
85.8,-1.553
85.9,-1.698
86.0,-1.705
86.1,-1.671
86.2,-1.491
86.3,-1.579
86.4,-1.579
86.5,-1.59
86.6,-1.525
86.7,-1.744
86.8,-1.6
86.9,-1.688
87.0,-1.49
87.1,-1.671
87.2,-1.546
87.3,-1.59
87.4,-1.58
87.5,-1.657
87.6,-1.514
87.7,-1.521
87.8,-1.64
87.9,-1.609
88.0,-1.64
88.1,-1.613
88.2,-1.547
88.3,-1.62
88.4,-1.794
88.5,-1.55
